,AQI,temperature_2m,relative_humidity_2m,wind_speed_10m,rain,hour,is_weekend
AQI,1.0,-0.029543110735062834,-0.025156357362897234,-0.01867973407002817,-0.0034888212348997776,,0.018143785281152413
temperature_2m,-0.029543110735062834,1.0,0.13624005324607552,0.2914046174759571,0.10042974166123679,,-0.002369455917869233
relative_humidity_2m,-0.025156357362897234,0.13624005324607552,1.0,-0.21185975626561313,0.06986159899797964,,-0.017672068630550715
wind_speed_10m,-0.01867973407002817,0.2914046174759571,-0.21185975626561313,1.0,0.11430981490792844,,-0.0009164952717362802
rain,-0.0034888212348997776,0.10042974166123679,0.06986159899797964,0.11430981490792844,1.0,,-0.011388959433945701
hour,,,,,,,
is_weekend,0.018143785281152413,-0.002369455917869233,-0.017672068630550715,-0.0009164952717362802,-0.011388959433945701,,1.0
